0,CombatZoneResize,91,226,556,391,
0,CombatZoneSpeed,960,,,,
0,sanshead,LookLeft,,,,
0,sanstext,you ann't understand how      this feels.,,,,
0,sanshead,Default,,,,
0,HeartTeleport,320,304,,,
0.2,SansBody,HandLeft,,,,
0,SansSlam,2,,,,
0.4,SansAnimation,Idle,,,,
0.4,BoneV,150,286,120,0,0
0,BoneV,180,226,80,0,0
0,BoneV,190,366,60,0,0
0,BoneV,250,326,100,0,0
0,BoneV,260,326,100,0,0
0,BoneV,270,326,100,0,0
0,BoneV,280,326,100,0,0
0,BoneV,290,326,100,0,0
0,BoneV,220,216,120,0,0
0,BoneV,280,226,30,0,0
0,BoneV,320,276,60,0,0
0,BoneV,340,362,30,0,0
0,BoneV,340,271,70,0,0
0,BoneV,340,226,30,0,0
0,BoneV,350,362,30,0,0
0,BoneV,350,271,70,0,0
0,BoneV,350,226,30,0,0
0,BoneV,370,362,30,0,0
0,BoneV,370,226,30,0,0
0,BoneV,390,352,40,0,0
0,BoneV,400,342,50,0,0
0,BoneV,410,332,60,0,0
0,BoneV,420,322,70,0,0
0,BoneV,390,226,40,0,0
0,BoneV,400,226,50,0,0
0,BoneV,410,226,60,0,0
0,BoneV,420,226,70,0,0

0,BoneV,480,222,170,0,0
2,CombatZoneResize,91,226,200,391,
0,CombatZoneSpeed,480,,,,
0.4,SansBody,Handdown,,,,
0,SansSlam,1,,,,
0.4,SansAnimation,Idle,,,,
0.5,CombatZoneResize,437,226,556,391,
0,CombatZoneSpeed,30,,,,
12,SansBody,Handup,,,,
0,SansSlam,3,,,,
0.4,SansAnimation,Idle,,,,
0.5,CombatZoneResize,91,226,200,391,
0,CombatZoneSpeed,25,,,,
14,EndAttack,,,,,
0.9,SET,Loop,999,,,
0,SUB,Loop,$Loop,1,,
0,BoneH,-120,425,120,0,300
0,BoneH,-120,435,120,0,300
0,BoneH,-120,445,120,0,300
0,BoneH,-120,455,120,0,300
0,BoneH,-120,465,120,0,300
1.8,JMPNZ,53,$Loop,,,
