0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SANSHEAD,Closedeyes,,,,,,,
0,sanstext,cause... y'see...,,,,,,,
0,SANSHEAD,LookLeft,,,,,,,
0,sanstext,al this fighting is really      tiring me out,,,,,,,
0,SANSHEAD,Default,,,,,,,
0.2,BoneHRepeat,130,-10,200,1,80,5,183,
0,BoneHRepeat,330,650,200,3,80,5,183,
0,BoneHRepeat,130,-10,200,1,110,8,183,
0,BoneHRepeat,330,650,200,3,110,8,183,
0,BoneHRepeat,130,-10,200,1,130,9,183,
0,BoneHRepeat,330,650,200,3,130,9,183,
15,EndAttack,,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GasterBlaster,1,-40,450,625,450,180,0.6,0.23333
2,JMPNZ,17,$Loop,,,,,,
