0,CombatZoneResize,91,226,556,391,,,,
0,CombatZoneSpeed,960,,,,,,,
0,sanshead,Closedeyes,,,,,,,
0,sanstext,heh heh heh...,,,,,,,
0,sanshead,noeyes,,,,,,,
0,sanstext,that 's your fault.isn't it?,,,,,,,
0,sanshead,Default,,,,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,BonevRepeat,596,361,40,2,70,100,15,
0,BoneV,586,311,73,2,70,,,
0,BoneV,551,230,120,2,70,,,
0,Platform,606,351,40,2,70,,,
0,Platform,686,321,42,2,70,,,
0,BoneV,686,241,60,2,70,,,
0,BoneV,701,241,60,2,70,,,
0,BoneV,716,241,60,2,70,,,
0,Platform,710,281,25,2,70,,,
3,Platform,686,341,40,2,70,,,
3,BoneV,586,261,120,2,130,,,
0,BoneV,586,281,80,2,200,,,
0,BoneV,766,271,100,2,70,,,
0,Platform,741,311,50,2,70,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,200,90,1.5,1
8,Platform,91,351,40,0,30,,,
1,BoneVRepeat,86,217,95,0,140,8,120,
0,BoneVRepeat,86,336,50,0,140,8,120,

0,BoneVRepeat,561,217,95,2,140,8,120,

0,BoneVRepeat,561,336,50,2,140,8,120,
10,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,$HeartX,200,$HeartX,200,90,0,0.4
1,EndAttack,,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,BoneH,-120,425,120,0,300,,,
0,BoneH,-120,435,120,0,300,,,
0,BoneH,-120,445,120,0,300,,,
0,BoneH,-120,455,120,0,300,,,
0,BoneH,-120,465,120,0,300,,,
1.8,JMPNZ,37,$Loop,,,,,,
