0,CombatZoneResize,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,sanshead,noeyes,,,,,,,
0,sanstext,you'll keep consuming       timelines over and over      untill...,,,,,,,
0,sanshead,Closedeyes,,,,,,,
0,sanstext,well,,,,,,,
0,SansTorso,shrug,,,,,,,
0,sanstext,hey,,,,,,,
0,sanshead,wink,,,,,,,
0,sanstext,take it form me kid,,,,,,,
0,sanstext,somebody...,,,,,,,
0,sanstext,you gotta leaen when to      QUIT,,,,,,,
0,sanshead,Default,,,,,,,
0,SansTorso,Default,,,,,,,
0,SET,I,0,,,,,,
0.3,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0.26666,SansSlam,$Direction,,,,,,,
0.2,BoneStab,$Direction,60,0.4,0.2,,,,
0,HeartMaxFallSpeed,600,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,166,90,0,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,181,$HeartY,0,0,0.2
0,ADD,I,$I,1,,,,,
0.3,JMPL,17,$I,9,,,,,
0.6,EndAttack,,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GasterBlaster,1,-40,450,625,450,180,0.6,0.23333
2,JMPNZ,43,$Loop,,,,,,
